   val_loss  params_dropout_rate  params_ffn_hidden_dim  params_ffn_layers  params_mp_hidden_dim
0    0.2441                  0.4                    452                  3                   698
1    0.2482                  0.2                   2030                  2                   484
2    0.2505                  0.5                    316                  2                  1720
3    0.2518                  0.5                    620                  1                   362
4    0.2525                  0.3                    515                  1                  1078
5    0.2535                  0.1                    677                  1                  1311
6    0.2539                  0.1                    498                  2                  2325
7    0.2579                  0.5                   1152                  3                  1802
8    0.2585                  0.4                    855                  1                  2278
9    0.2612                  0.5                   1943                  3                  2279
