cc	MAE	RMSE	MRE	Mean_relative_error_max	Mean_relative_error_mean	n_molecules_test
cc_0	169.8337203979492	180.59351339500472	335.78587909873414	36.58632494570212	58.84205724636737	4
cc_1	139.40757853190104	177.0411922519438	42.89256462346713	12.761587196256043	87.33138529351187	15
cc_10	323.44827067057287	351.28315233841346	48.30206372010074	18.163087975661103	66.8254741426345	6
cc_100	258.1230943080357	311.2750483250205	40.33240864546344	12.58609043562387	32.817858825189134	7
cc_101	74.68048435756138	79.85783418274715	128.22920898275626	27.561442411264164	48.78356582661613	7
cc_102	50.08940551757812	53.97399292364453	16.42862082388354	12.349458954037999	22.31043500238558	5
cc_104	63.6293611879702	78.81130601390618	22.992891331589263	6.42720820080507	12.088685786764094	54
cc_106	582.97431640625	699.1515339466989	197.12447720684327	20.67284809951241	42.67516800697919	16
cc_107	74.94349036583534	99.7677259818124	26.490119322129797	8.555192964136454	38.829367455912404	26
cc_108	94.12062698364258	97.64466220251799	21.806385408473595	11.352417979403988	33.70355627204536	8
cc_109	65.61856825086804	78.42492217549383	11.718064489095466	5.395376438979448	11.299967396955825	9
cc_11	231.73028564453125	270.2636859347338	21.03505395465492	14.535835255584697	50.79034231293501	8
cc_110	885.4609898158484	1035.9133654712518	286.16271363314337	28.206580970178656	53.12617744821155	7
cc_111	245.66047905815972	292.7275374822852	102.92538588084128	17.239331863730506	46.740625457349445	9
cc_112	65.83838470458986	70.36834265236764	33.73301555936562	19.53719241063232	65.02692245423184	12
cc_113	6.1414945678710975	7.440463575682193	2.332374590149853	1.856165432910538	4.99743944656745	10
cc_114	47.50315483940972	57.30899010456858	10.844297926050565	8.614070801039007	14.072699475238855	9
cc_115	244.54155418395993	254.3056195666696	47.99291374346734	43.819939466000065	92.55725404921054	8
cc_116	52.97664010184152	62.058928683819076	17.282337984690717	11.023021244661155	16.155404885605734	7
cc_117	64.93514665876117	80.06472507131679	23.216346310793504	12.976648013341562	19.666454225675626	7
cc_118	22.973129543728298	28.38101530388777	18.386446251864406	6.895731515451988	19.11299433265699	9
cc_12	305.18245713975693	356.9653964503982	45.64850759261238	18.583756980864507	62.86900031505676	9
cc_125	58.974962671252264	87.57384242962515	7.654577730545733	4.138593871666825	8.498615991018074	276
cc_13	50.52195780436195	75.00161126538875	18.071342109125663	5.0542174674231655	28.988856922015973	15
cc_14	46.39926205898853	68.01308016754837	18.795242237115936	8.110341209401946	24.28821102944245	47
cc_144	55.75379333496093	58.66387082284539	6.263697428784116	4.582001424635186	8.797655213387067	4
cc_147	82.60393249166889	101.5025657782669	12.521136654298317	6.333734539573902	11.322133003553889	118
cc_148	84.60035140991211	117.65872753116331	18.22214153632414	6.579639864201161	11.123796195878866	104
cc_149	62.50019348144532	77.10220067914183	24.306510612677872	14.939332986290589	33.889841381357535	23
cc_15	41.0558016204834	51.69108941827681	20.96455563534995	7.777487614700955	20.8861529374402	48
cc_150	135.0619873046875	135.66162744119643	60.052296118114455	20.152489899237167	38.867877436670845	2
cc_151	243.78235127766925	270.0383920094688	95.54373377782277	22.115990463278198	43.287060800841154	6
cc_152	270.87194864908855	311.93419318662785	116.72709536504381	23.299610226490554	39.9057056261364	6
cc_153	124.14246643066409	132.62300058967116	18.33043743060858	11.485101899404576	21.300444201633656	4
cc_154	170.76736572265628	183.6006751557416	18.764324541649664	14.03413590751613	22.604324335520552	4
cc_155	240.87185546874997	283.65181173793286	111.66056264730182	22.00948971753929	41.66739693293189	5
cc_156	128.37106323242188	147.97295580951922	17.39870568587776	11.102842348419118	18.110099482680255	6
cc_157	92.95061096191407	128.73560939391967	12.422501182010723	9.088746549517362	16.63158655917443	4
cc_158	134.76598388671874	204.55562257358156	33.36955622184399	11.909330495468257	18.553152989482772	5
cc_159	126.80372698102678	138.86087916226006	23.8506349506946	11.170166224544289	20.94395097360525	7
cc_16	34.856559023649794	44.0177067250362	15.570115075096428	6.131968021893215	18.351358602297452	46
cc_160	75.16237949916292	85.01946924402428	10.805440609167904	5.964132189040415	9.815025554364622	7
cc_161	120.87813964843754	150.96884243960662	24.780912255803635	10.891099907056395	19.781791380785958	7
cc_162	118.89709786551339	135.74845210078306	14.164181809366056	9.566565114215296	16.29020218718711	7
cc_163	131.17711390904017	161.96121038522145	26.660184064404493	11.813926466104704	21.527671260573186	7
cc_164	138.66928629557293	176.784564852445	15.236145085113028	11.971173581233204	18.54189716067938	6
cc_165	193.1757575334821	215.64675277832504	52.53732606926713	17.44471152411882	30.433916954367678	7
cc_166	197.2787290736607	200.67252597321826	20.66992062846304	17.114193305716974	25.224463097395557	7
cc_167	182.28886683872767	199.0528166427214	35.25748580827719	16.540438701249247	28.632514808971216	7
cc_168	183.27435337611604	214.77979318514684	32.4056579875611	15.044191076973018	23.063101999247493	7
cc_169	179.78289794921878	192.65413295516169	37.25301570796514	16.106114988642116	28.299254193224346	7
cc_17	24.808473471364675	32.69628168800702	12.182642971959485	6.2373594487264725	13.610818809632766	31
cc_170	166.04262939453125	185.92862977560134	27.49182369307391	13.479674410986462	20.893052192191966	7
cc_171	70.43873901367189	96.78110647707112	9.599357184043605	5.968373073519055	11.727650469753396	4
cc_172	199.62334716796875	220.75871381770364	21.289605118062525	16.816901466502287	26.309669281038623	5
cc_173	246.97007812500001	274.9104394008199	94.20423789205948	24.353141455153235	41.3967788943039	6
cc_174	192.47322509765624	197.85406331480974	39.36831018316971	17.4436491841269	27.1429916724543	4
cc_175	170.82371355329244	212.24293244714582	50.77800245602497	16.41525537681546	27.267201529812432	7
cc_176	292.65643205915177	338.43146166205923	98.39807955467313	25.259488353111667	37.182293372111296	7
cc_177	316.9804915364584	318.908612583241	87.68200900794528	31.007208547213907	50.49984154904257	3
cc_178	160.27665527343748	175.72220406902812	28.545557249765046	13.86956172321197	20.189663763966657	4
cc_179	39.75276995340983	53.499849305044265	14.61338546499797	7.616348613520678	23.349388793403307	24
cc_18	32.84760434520488	53.6792291055641	15.765658151277995	7.196793380045764	12.967602921918347	49
cc_185	49.62771780160758	72.0334064866154	12.528248900224979	5.137444906998714	10.66150947219308	221
cc_186	55.19094721106843	78.71321670489183	13.44901322366217	5.713348572574372	11.60939336998893	179
cc_187	151.74863861083986	185.64390467795212	44.53483393681362	17.454409778104424	42.53340669700438	8
cc_188	162.49892578125	190.34044958541463	21.144806422426104	13.846193403310329	43.578092263205825	3
cc_189	208.71164184570313	233.39257368252046	34.809847773617605	17.03490383983865	53.60941091208177	4
cc_19	24.77238885243734	45.1991789272334	10.50924025685542	6.142117636724521	12.690357795382061	48
cc_190	183.7486392211914	218.5735948351338	35.19479424081726	18.003981895080482	57.21911469441976	4
cc_191	76.41181152343748	91.23694945663037	19.10933591195996	6.032828953374191	19.050323493184827	5
cc_192	194.44343359375	227.58546162259876	27.633198116690256	14.784324330425028	47.33573076434754	5
cc_193	33.15719734005812	43.168348331200605	16.144296681766953	4.883383507622922	15.876985705367098	41
cc_2	132.83031093052455	177.30226416001472	38.64097106320818	12.192978789289938	84.50477596268423	14
cc_20	40.366972955197696	58.88628189616717	20.858746241125807	9.139829949553434	15.971270868052281	49
cc_21	26.106514567923035	36.164430026193045	10.192585578533192	6.551853277097584	13.652499011726626	47
cc_22	29.2444219321393	42.32219238278946	13.245724322477928	6.717296474673674	12.188350480090724	47
cc_23	297.91221720377604	337.05324772844443	215.449337808092	13.525479760454736	117.51338533477575	6
cc_24	133.69923502604163	161.57281710150068	16.22317115072891	8.469481504246906	47.133299508771834	3
cc_25	419.4536865234375	447.29505611115064	41.303677113117935	17.059284468986395	45.957929459533254	5
cc_26	16.769029663680953	22.872896647695036	10.085963393960578	3.7450932784708226	8.76301648942468	889
cc_27	114.89704666137693	185.56543510407326	42.94875360622145	5.127043581498302	28.534474232079706	12
cc_28	167.7143839518229	199.9206945560545	12.234748245631165	7.398728778534625	23.04156102723339	6
cc_29	693.1726359049479	748.5069038711933	63.00459567950832	29.844684229094465	96.84290063235721	6
cc_3	96.04743408203126	130.25874163821356	32.095044512344955	8.378178129974815	49.249856049780924	15
cc_30	393.55820922851564	435.30633479497743	79.04304084401606	21.83523131538591	78.5385428971578	6
cc_31	327.6033469354539	369.558796792918	29.900524887980097	14.693368628249635	64.41978664812746	6
cc_32	432.8769694010416	494.18780764204865	70.0366862127193	22.287970826950968	85.45994734026483	6
cc_33	312.9860534667969	366.24563559522267	27.688288686365773	19.789204189858175	80.71025319113296	4
cc_34	200.739638671875	211.4379953239445	29.524625972455272	12.483808375116606	51.09893484594106	5
cc_35	41.99385221440741	51.79710313461178	14.280790213168341	7.122914073954713	19.959270326448145	47
cc_36	50.11495687631461	67.34757893607623	14.822173786557345	9.77814658478003	22.768517739943924	26
cc_37	37.718287167756465	47.029325623595604	13.66504443536338	6.348597449632476	18.008914485660444	46
cc_38	159.06782983398438	177.54119882212805	128.69746212462775	28.233551621225484	55.64981637179856	10
cc_39	32.313996500651044	42.56846124783095	13.648147088702672	6.169854603553488	16.580894760296733	30
cc_4	144.19705159505207	197.33241487714693	41.36108090630539	12.349867385667359	81.81200750218017	15
cc_40	36.00553132324219	47.87980432090449	14.882472978069318	7.6728319744368125	14.339394033933223	50
cc_41	40.298870001458496	49.49407602631568	18.358759268763624	6.8535493199759365	19.612450939898963	44
cc_42	44.130847773897486	55.30009305072816	21.38525948386993	7.945491299178546	17.59308875218011	46
cc_43	26.66566692973292	33.198290472048775	10.187298557476366	4.973453247115213	13.389289126659692	43
cc_44	33.30447777789572	44.22895601740513	10.572562161533392	6.301937211984507	14.220017208694426	46
cc_45	44.889468879699706	55.27024058774902	20.73999285036982	7.803064399892176	20.88693217494588	48
cc_46	51.47427653808593	63.393750792825145	21.747558514884226	8.736299480326872	23.63380599032731	50
cc_47	36.35897279130652	46.77207210196969	12.347899822088896	6.721194319599695	17.445133500931544	47
cc_49	211.31846679687501	308.56316075114114	47.28497203344787	12.09054049644553	41.85809694247122	10
cc_5	163.3045078277588	208.60668187075677	29.919460103249666	14.515956251356338	97.33610858298746	16
cc_50	296.6027913411458	381.42557563157163	66.5568680542838	16.43957384664371	59.22617848702725	6
cc_51	370.6936604817708	417.8865661475917	73.42043705087488	23.174147316939912	92.24948210716371	6
cc_52	254.16327311197915	357.60476755601826	20.870894863767845	14.894706581808435	56.028782482940834	6
cc_53	229.2094098772321	317.95065301034543	45.06598119091565	11.83810607774156	44.497157645421055	7
cc_54	311.689453125	364.17039124782326	41.91704477173955	18.125695110781574	50.04310132023852	5
cc_55	324.3177455357142	381.0783883869583	32.889802757558456	18.78143071205202	70.32541378436494	7
cc_56	239.39210408528643	308.29104827405786	75.58108378325582	13.009026414807437	53.30881177671166	6
cc_57	237.774560546875	252.73536000114964	22.878226329480828	14.803546292297034	62.27562414469894	5
cc_58	238.62578938802085	312.37725415786684	44.60969675404646	13.069656555374129	55.691996216345736	6
cc_59	202.22793579101565	211.97255202890054	26.4570125733273	13.274775882303771	56.65878494810628	6
cc_6	127.21269749232702	144.0315770459957	37.60734196136469	11.609116398277697	85.7693540438393	14
cc_60	294.51171671549474	350.33132842956337	37.69858107822281	18.61406375398147	78.35239759206215	6
cc_61	433.2411295572917	497.9419319008977	87.43618858878709	24.093044686758514	102.44329464428326	6
cc_62	330.002040608724	376.50327540814976	79.37915491890773	21.56030580221638	83.18957093787394	6
cc_63	22.511199079241077	28.529542446069264	10.041961020838837	3.8968285346975975	12.023063016474309	28
cc_64	28.668002293904625	36.70294781000289	10.296451959312906	5.266174784875385	11.92392721185319	48
cc_65	36.33614462828026	49.10531905717956	13.777190661393405	6.887324126820622	17.5559568256992	39
cc_66	24.15265997568767	31.15143896429277	10.230929387172123	4.2965560137488295	10.287812077055808	48
cc_67	36.95727402105564	46.883099433205835	13.60560093521044	7.527246327967663	19.29169903318915	41
cc_68	27.252404811128656	37.7965342703062	8.890915854270673	5.061927413932289	12.186508894891992	47
cc_69	403.43749267578124	490.7112026671456	269.5227545844626	30.6191175376276	49.410244935035614	7
cc_7	167.44096548897875	221.9266242746361	68.20852924905726	15.619493049345039	121.66700576616799	14
cc_70	257.2601981026786	292.6231421882823	11.946932167853735	7.005996680356171	18.900713570776507	28
cc_71	58.52298706054688	64.09809412835111	29.476307236613167	8.130451105938716	29.803018001882023	4
cc_72	37.645921979631694	44.00594921366135	11.419024695097642	5.228600274948847	16.497895508950936	7
cc_73	161.21750162760418	193.25824385797145	71.6547414967887	21.674262809228598	45.27534158769074	3
cc_76	11.693536304292225	13.067096102766902	15.109642181772605	9.064756825032733	25.05944643495219	21
cc_8	92.21083483014786	140.22758251454863	25.305608011560473	6.956158330578446	59.17939820886009	14
cc_80	130.6066007486979	151.05446868877885	38.50608947526333	16.16378316733471	57.071884081399055	3
cc_81	185.8868218994141	186.1519966364007	32.64639859378973	29.107579139302572	47.23837522037732	2
cc_84	114.30231094360352	149.39135181455833	29.304651400823857	9.338424096699633	24.82668073912599	36
cc_85	13.7179744466146	17.16461502616015	2.1170766751093857	1.238061988647732	2.4111264301134305	3
cc_87	427.3933349609376	501.73680007185857	39.702094805508295	36.90788730232621	96.0722317460522	3
