cc	MAE	RMSE	MRE	Mean_relative_error_max	Mean_relative_error_mean	n molecules test
cc_0	103.20994638296273	131.80081798193947	151.0571663039539	22.233939332822647	35.75900921931481	13
cc_1	70.85623360036689	93.10415642449287	24.1317282084946	6.486290150161744	44.3876373305251	107
cc_10	172.02932176776963	253.63786653598783	20.471244390418473	9.660226963598923	35.54182240558485	51
cc_100	177.9298816227008	228.05545203034282	48.39587590663535	8.675866788698436	22.622066233670687	79
cc_101	36.046557444102724	44.22476669229872	42.22286667661191	13.303276293217719	23.546708661902773	67
cc_102	52.569221553096064	63.241147085481245	33.39982934323018	12.960853440112444	23.414975451740307	54
cc_104	64.15317475326418	88.08028623905128	16.700694049299983	6.480118661945877	12.188203014085882	508
cc_106	300.23296869814004	411.7483572639128	31.30281321976624	10.64655917369291	21.977799055385436	153
cc_107	51.11765662483547	73.42211396445742	18.68486509237526	5.835348929775739	26.484838948410353	184
cc_108	50.21330243791853	63.80047172207078	24.24570599260638	6.056508713021484	17.980828629793756	84
cc_109	63.45319724704909	84.4673824451019	10.852452116809232	5.2173324491900255	10.92707566222731	92
cc_11	142.06587163361027	188.35279776918895	25.6913485195318	8.9114208777826	31.137812786046748	71
cc_110	335.11279832994614	392.77962440053966	31.413553835130365	10.675101883599202	20.106207042442424	74
cc_111	97.65801489131967	132.47213369266015	24.547327144509108	6.853194027461031	18.580915882130007	97
cc_112	31.971574311689903	38.21837927309419	30.07166267204556	9.487395564168047	31.577522638720417	88
cc_113	28.756641532702332	36.77355691379214	21.38375728889615	8.691220579896127	23.399772345014426	78
cc_114	68.60645767550997	84.31144012884779	22.488382624534864	12.440876523321723	20.324504008040385	90
cc_115	77.09226216386006	97.03528067333593	53.90728200754091	13.814332180027245	29.178877668214177	82
cc_116	39.9717059557951	55.15165094743452	17.41588658199383	8.317042437743464	12.189506402120827	79
cc_117	45.60260697376879	62.79102408534367	19.451155473298815	9.113230810105671	13.81134299016935	79
cc_118	27.324321601335388	34.44493036101754	24.421000688868435	8.201807474511599	22.733063116888022	86
cc_12	147.19277520430717	186.963184549078	23.761360015439845	8.963145488022601	30.32239374904796	76
cc_125	65.26630407550545	95.65224650996406	8.306548889798279	4.580091514070558	9.405232837241247	2749
cc_13	59.928771267594975	91.25587690320334	19.897967596952714	5.995275236854239	34.38636686479595	116
cc_14	31.504903894372884	44.70212244851033	13.481396253109931	5.506887588598652	16.49159319120242	370
cc_144	77.81835711935291	100.54739983502334	13.985469082631317	6.395328494358393	12.279327275459027	46
cc_147	75.27976696427402	110.80269031324558	15.543490692517823	5.77214723040922	10.31824403919287	1093
cc_148	76.612496900707	103.6588057051099	14.056299269221766	5.958398875454548	10.073501910785405	963
cc_149	40.523304072412955	52.535699728211995	48.16974986911891	9.68622814619298	21.973185533742395	232
cc_15	31.55040021741712	46.992775952758635	13.785528162129959	5.976812953212306	16.050508287960252	370
cc_150	54.714949340820304	68.37160499938577	16.329776387756684	8.163973342408282	15.74576227828723	20
cc_151	83.85219228108726	105.12569462330015	21.673036578948864	7.607089992750298	14.889162101078371	60
cc_152	77.58181587727863	99.0274959552509	19.632608046857317	6.673360160101728	11.429596611166891	60
cc_153	69.77436297981107	87.92105261606869	19.532532908227306	6.455209823277922	11.97193005816494	49
cc_154	78.75071404196999	100.18949807056457	18.905857344974297	6.471952173074457	10.424161983909729	44
cc_155	79.74303435703496	102.81132923907313	19.590167996057282	7.286461472682286	13.794408062846824	53
cc_156	73.36750578333121	94.23629215689357	18.27333404753192	6.345572200599482	10.35040760024388	61
cc_157	99.36329441236416	120.49832720636843	23.466964340515577	9.715781207818923	17.779003437654623	46
cc_158	94.05936887468611	122.00178810258002	17.338275413160655	8.312068652764768	12.94909746878808	56
cc_159	76.6607898035184	97.43402712603775	17.05016708950647	6.7530646409019	12.661929278174792	71
cc_16	30.70975682963496	43.86700834134267	13.847818747195625	5.402462323136119	16.168140974202625	368
cc_160	83.4605212402344	105.25806580497928	16.476354774329632	6.622589446473241	10.898632456980888	71
cc_161	67.67120602030153	87.80766319519498	13.621245737525307	6.097164199760468	11.074439794268413	71
cc_162	94.51612398451653	116.52226294752707	18.432320658735133	7.604850502439295	12.949742233394005	69
cc_163	69.74887891312721	88.42447414558414	14.880716095596561	6.281645494535754	11.446592254472892	71
cc_164	80.37121633529662	100.65303136859603	16.02280328156053	6.938362541463503	10.746682757069628	64
