This file contains the result of GNN0 on test set.
 MAE: 352.4808 s RMSE: 512.3610 s.
The result table is:
                                                                                                                                       smiles    real_rt    pred_rt
0                                                                                CCS(=O)(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC   5.840000   8.302257
1                                                                                          COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O  11.890000  16.796820
2                                                                                                                 C1=CC(=C(C=C1C=CC(=O)O)O)O   8.500000   8.991881
3                                                     CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC=CCC=CCC=CCC=CCC=CCCCCC   7.400000  10.560926
4                                                                                                     CC1=C(C=CC(=C1)OP(=O)(OC)OC)S(=O)(=O)C   5.350000   9.453959
5                                                                                                    C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3  40.700000  17.746090
6                                                                                                                   COC1=CC=C(C=C1)C=CC(=O)O   1.650000   8.956834
7                                                                                                                COC(=O)C1=CC(=C(C(=C1)O)O)O  10.730000  13.765713
8                                                                                                                      CN1C=NC=C1CC(C(=O)O)N   0.150000   6.638985
9                                                                                                                                      CCNCC   1.680000   7.209287
10                                                                                                             CCOC(=O)C(CC1=CC=CC=C1)C(=O)C  14.090950   9.260001
11                                                                                                                 C1=CC2=C(C=C1O)C(=CN2)CCN   7.730000   4.924392
12                                                                              CC12CCC3C(C1CCC2OC4C(C(C(C(O4)C(=O)O)O)O)O)CCC5=CC(=O)CCC35C   7.900000   9.597887
13                                                                                                                         C1=CNC(=C1)C(=O)O   4.300000   5.039685
14                                                                                                                      C1=NC2=NC=NC(=C2N1)N   6.600000   3.791094
15                                                                                                                          C(C(=O)O)N=C(N)N  13.990000   4.284118
16                                                                                                                      CC(=O)NC(CCSC)C(=O)O   4.610000   3.447121
17                                                                                                                           CS(=O)CCCCN=C=S   1.440000   4.503042
18                                                                                                          CC1=C(C(=CC=C1)C)N(CCOC)C(=O)CCl   9.390000  12.968739
19                                                                                                                         C1=CC(=O)NC(=C1)O   1.090000   1.437766
20                                                                                                                     C[N+](C)(C)CC(=O)[O-]   7.100000   3.315765
21                                             CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O  11.700000  13.734627
22                                                                                                                         C1=C(NC(=O)N=C1)N   8.620000   2.559147
23                                                                                                              C(C(=O)O)C(CC(=O)O)(C(=O)O)O   1.700000   5.090977
24                                                                                                                        C(C(=O)O)P(=O)(O)O  14.300000   5.738960
25                                                                                                                              CC1=CN=CC=C1   2.160000   1.362453
26                                                                                                                 C1C(C(C(=O)C=C1C(=O)O)O)O   9.210000   1.751104
27                                                                                                                 COC1=C(C=C(C=C1)C(=O)O)OC   6.870000   9.782810
28                                                                                                                       C(C(CO)OP(=O)(O)O)O  12.200000   2.919844
29                                                                                 CC1C=C(C(=O)C2(C1CC3C4(C2C(=O)C(=C(C4CC(O3)OC)C)OC)C)C)OC   7.133100   9.197908
30                                                                                                                C(C(C(C(C(C(=O)O)O)O)O)O)O   1.606977   4.676078
31                                                                                                              CC(=O)C1=C2C(=CC=C1)OC(=O)N2   3.688067   3.321496
32                                                                                CC(=O)OC1CC2(C3CCC4CC(CCC4(C3CCC2(C1C5=COC(=O)C=C5)C)C)O)O  17.778317  17.070459
33                                                              C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O)O  19.100000  10.067283
34                                                                                                         C1=CC(=O)OC2=CC3=C(C=CO3)C(=C21)O  37.610000  10.812916
35                                                                           CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O  18.790000  21.185482
36                                                                                                         C1=CC(=O)OC2=CC3=C(C=CO3)C(=C21)O  11.020000  10.812916
37                                                                              C1=CC=C2C(=C1)C3=C(C=C(C=C3)OC4C(C(C(C(O4)C(=O)O)O)O)O)OC2=O   5.230000   3.925344
38                                                                                                                            CCCCC(C(=O)O)N   2.500000   5.386017
39                                                                                                                C1=CC(=C(C=C1C=CC(=O)O)O)O   1.300000   8.991880
40                                                                                          C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O   8.590000  14.334659
41                                                                                                                       C1=CC=C(C=C1)C(CN)O   2.240000   7.967083
42                                                                          CC(=O)OC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC(=O)C)OC)OC(=O)C  21.795000  17.487919
43                                                                                                                CCNC1=NC(=NC(=N1)Cl)NC(C)C   9.340000  15.395024
44                                                                                                  CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O  11.350000  21.753075
45                                                                                                              C(C(C(C(=O)O)O)C(=O)O)C(=O)O   0.240000   3.518364
46                                                                                            C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)N  12.700000   5.931143
47                                                                                                                    C(CC(C(=O)O)N)CN=C(N)N   1.348293   5.538866
48                                                                                                                     C1=CC(=CC=C1CC(=O)O)O   1.150000   4.585631
49                                                                                                                            CC(=O)OCC(=O)O   2.230000   2.458155
50                                                                                             C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O  22.580000  20.944309
51                                                                                                             C1=CC=C(C=C1)C(=O)NC(C(=O)O)O   5.100000   3.463266
52                                                                            C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O  19.300000   3.853096
53                                                                                                         C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F   7.710000  11.537017
54                                                                                                   CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O   9.600000  26.884027
55                                                                          CN(C)C(=O)C1=C(C=C(C=C1)NC=O)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC   7.800000  10.700087
56                                                                                                 C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O  33.750000  22.288601
57                                                                                                               CC(=CCNC1=NC=NC2=C1NC=N2)CO   1.110000   3.043634
58                                                                                                                       CC(C)CC(=O)NCC(=O)O   5.200000   5.233763
59                                                                                                                           CC(C(C(=O)O)N)O   1.305000   6.741897
60                                                                                                       CC(C)CCCC(C)CCCC(C)CCC(C(C)C(=O)O)O  14.024983  16.056808
61                                                                                                                     C1=CC=C2C(=C1)C=CC=N2   3.830000   3.673940
62                                                                                                                   C=CCOC(=O)CCCCCC1CCCCC1   6.999883  12.531303
63                                                                                                                    CCCCCCCCCCCCCCCCC(=O)O  14.078383  17.820631
64                                                                                                                         CN(CC(=O)O)C(=N)N   7.444000   4.867212
65                                                                                                                  C1=CC(=C(C=C1CC(=O)O)O)O   5.600000   4.740219
