	MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test	test_fold	val_fold
run_1	90.07341837598483	99.87733822135746	65.16215877701076	20.116450414504385	47.06979868949324	8899	0	1
run_2	98.43429032796682	136.6538887515831	28.66344280704289	9.566479941269915	24.00805767355639	3175	1	2
run_3	133.62221771211634	227.60747411309868	29.986220959348124	11.838194569132913	26.84408507006538	3201	2	3
run_4	116.27830193239194	205.3772504306024	22.346716924998606	9.609270578141592	21.6033795233143	3188	3	4
run_5	211.54690103822702	350.01614077755573	53.35296115278514	18.61385399948081	37.90474140861463	3194	4	5
run_6	56.16526853791715	107.38613231940626	12.447753745029253	5.8785885691531155	14.386596219023707	3201	5	6
run_7	39.73253612931269	71.52665806129231	14.888668867366404	5.124257189319246	14.628563172818163	3174	6	7
run_8	56.179579128971504	95.65167278304256	20.541096109606162	7.096975849445887	17.61483990516337	3192	7	8
run_9	100.83771711717132	225.92797866606088	25.726458264695243	6.507156776036791	17.592334755728334	3201	8	9
run_10	104.05199765474032	141.27919956993534	46.599749705228795	22.831938640799052	62.324316846139624	3202	9	0
