	MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test	test_fold	val_fold
run_1	46.447657064872075	78.2431925981164	16.59599014919331	5.870054002737342	14.817735853915643	3830	0	1
run_2	38.69025818286517	71.5478943795604	13.519762451250225	4.7748996914770006	11.965603090623613	3820	1	2
run_3	43.762476439503345	81.95951438828065	14.790786461273152	5.350825157194303	13.349496036276626	3809	2	3
run_4	40.3051510181098	78.96901994095765	13.134179097435535	4.8224838090494835	12.015444418426037	3788	3	4
run_5	51.95852873362807	92.68727804172535	18.270546137195343	6.330205140294999	16.114067655989807	3768	4	5
run_6	41.77734569874132	82.06021708228737	14.70705726455865	5.124961618260732	13.036723676854027	3750	5	6
run_7	44.38570960321715	93.5039917810209	14.539844662691772	5.2710205828581005	13.561230040236602	3736	6	7
run_8	39.617857900350444	79.97580024116832	12.807915855678852	4.989678906827289	12.393658242310611	3721	7	8
run_9	43.2965253237621	79.28615332333692	15.93700271062489	5.481173437646138	13.958862581285766	3711	8	9
run_10	37.64559089802465	73.98952649397816	12.53746510177359	4.600546145109025	11.684531530831762	3694	9	0
