	MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test	test_fold	val_fold
run_1	96.32532791278415	186.37789481306473	30.885492964144895	9.440931298517224	25.067733528566364	5178	0	1
run_2	55.92992191178862	112.10838484099207	17.423828607059143	6.050885198807475	17.298806681426843	3029	1	2
run_3	75.49117383038183	111.1489445062519	25.18722985391961	10.997892086248653	26.802838737521427	3029	2	3
run_4	52.79902599250002	107.36692049640212	17.56888361645239	6.397471239084082	15.221630271092101	3029	3	4
run_5	60.95891974537211	109.36684717623054	20.303241165657838	7.581831282701988	17.012969153449117	3029	4	5
run_6	62.63718951947312	116.6395255968417	18.019585738621814	7.279942726236493	18.728785346495556	3029	5	6
run_7	53.84191104609535	93.10829947707681	19.08249289105925	6.986775534263979	18.42166919764887	3029	6	7
run_8	50.162722472036265	91.019967327736	18.869831494864872	6.321457336362925	15.1204381894181	3029	7	8
run_9	61.37788504156274	136.69704810742957	18.338254194567458	6.715193432399167	16.144712976803504	3029	8	9
run_10	57.35334764248832	89.40896672004116	22.021025798373884	7.234722006464317	17.41824773619405	3029	9	0
