	MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test	test_fold	val_fold
run_1	126.68747544939544	139.96669147884316	102.07442770096388	28.293611633329338	66.2032603336063	8899	0	1
run_2	344.4635344958468	430.68577102972654	46.011028409376785	23.70620209689554	49.2046180185225	3512	1	2
run_3	90.97395134747121	131.81081545370492	22.72442089128263	8.615565672594533	20.85243594483317	3502	2	3
run_4	116.94354163003113	219.95818898882308	21.617407737628238	7.805214458482813	19.015874901666745	3501	3	4
run_5	128.52866340276813	205.3700177190934	58.36688182180986	27.6210249224724	70.06600091555295	3493	4	5
run_6	443.36763369503865	744.8714871954802	90.42032494262747	37.00131679676565	68.65101451681954	3512	5	6
run_7	71.10747499165701	123.630438414585	21.267658339261132	6.943388749238448	19.949760519659424	3494	6	7
run_8	47.22032569911027	73.31126331940288	17.45763986568175	6.879757276731343	18.73988594646676	3493	7	8
run_9	53.970859362765	108.99470013631895	23.83059618709353	6.877386411858998	20.264056320375456	3492	8	9
run_10	73.64090348059095	135.31035779658257	18.86983554659632	9.41504103396142	24.298055167642463	3492	9	0
