	MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test	test_fold	val_fold
run_1	44.38534793958187	79.54416539648952	13.817737246917634	5.159956780092743	12.876425941279512	4107	0	1
run_2	48.59493253541996	88.47289574602145	17.152046204046975	5.870669488947812	14.518549028582472	4097	1	2
run_3	41.656872625063365	75.42758826828032	13.159450849509692	4.870217895357318	12.028232818217024	4086	2	3
run_4	37.93486401313121	74.99738776150257	11.890737540659092	4.3812984619619915	10.76277780616197	4064	3	4
run_5	41.40293969279817	81.4726481815802	13.264257982669628	4.72769458536886	11.75371282845552	4044	4	5
run_6	39.47275422652538	74.00911038805154	12.30801845655895	4.56436463997771	11.285438445388358	4026	5	6
run_7	39.839732782714975	81.31138347561556	12.406800712876922	4.660329740805372	11.642180980180266	4012	6	7
run_8	44.95624610041074	83.74685556450952	14.259073982751314	5.195230726740757	12.934870673559134	3997	7	8
run_9	39.947960454199126	73.94753342081061	12.944143657423023	4.691028741115197	11.606974571692156	3987	8	9
run_10	40.11781174303082	82.8067206834838	12.830180976867371	4.641394713730072	11.641045979700314	3970	9	0
