	MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test	test_fold	val_fold
run_1	80.74664111390716	140.41192801965863	27.61538758079585	8.499885719767716	22.201419525119196	5238	0	1
run_2	59.77625423899501	96.558404918759	19.060299433513652	6.972949144917772	19.060002869970386	3328	1	2
run_3	53.52497077275545	88.61160480339412	16.910508693849536	7.249109702661741	18.256824673577974	3328	2	3
run_4	47.021729004334176	80.10436891060273	13.162715678225792	5.288487986076708	12.13829907784976	3328	3	4
run_5	45.62892478679999	80.84011334330114	15.014808128276902	5.663386786661314	13.327680862762302	3328	4	5
run_6	61.2963136108629	103.95950792187878	18.1439372720582	6.799615324275506	17.85654628432264	3328	5	6
run_7	60.059665909644885	115.97206142533624	18.406518565820935	6.474982435814856	16.48486502402855	3328	6	7
run_8	61.07829045173449	111.06545873939129	18.489358492895303	6.993771185785333	16.110008718616157	3328	7	8
run_9	76.86970618807081	157.51379885747522	22.273796991546668	9.218906655213866	21.599196044580193	3327	8	9
run_10	59.73511824742402	95.49658743141613	18.285011721687894	6.7884812837511985	16.187978168622713	3327	9	0
