	MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test	test_fold	val_fold
run_1	122.17935011535616	130.7632363480329	87.78395304269047	27.286794290547647	63.84744264880964	8899	0	1
run_2	83.23177565431884	121.71055858484169	21.435636073859705	8.103680778228272	21.026901375503357	3175	1	2
run_3	112.38515506361841	253.60092290731345	20.73477095148293	8.381217277143518	18.92143217998315	3201	2	3
run_4	108.17922143601913	236.34381198543824	22.418796746755568	9.086735594419602	21.43019186575558	3188	3	4
run_5	141.24711168792794	232.34600377476607	43.79527959302209	12.824294745396035	29.484316318670082	3194	4	5
run_6	72.75104848266317	119.88318331941801	17.156285633502232	7.801486893663749	20.72577490547941	3201	5	6
run_7	42.52091470827272	74.29452647682716	16.278975730982133	5.5791313807002645	15.844967162614308	3174	6	7
run_8	53.57025905238997	103.63283160847823	17.406503742122688	6.621650556654164	16.474726187041693	3192	7	8
run_9	108.55460574772063	250.78965297283838	24.255418184223952	6.660812637669232	17.920440493925543	3201	8	9
run_10	67.08062297146742	114.50653540478504	37.39013157601649	18.776196777506495	52.42373719157707	3202	9	0
