cc	MAE	RMSE	MRE	Mean_relative_error_max	Mean_relative_error_mean	n molecules test
cc_0	63.561738692882436	87.84560239525813	57.39326561381846	13.69274853358088	22.02214882934635	43
cc_1	37.4342775646009	51.311821921496424	13.779696212341692	3.426792160801986	23.45057099195169	152
cc_10	121.67752666766826	199.30485792735115	15.807802651112556	6.832745208202396	25.13897630434836	65
cc_100	108.97233602403088	160.3072507107467	21.75256596521793	5.313494632692181	13.854780212807892	79
cc_101	27.903449934895836	37.60746741708448	33.918501505093886	10.297995990144608	18.227382942125416	75
cc_102	43.9786262229637	56.62056298319107	29.478596605596643	10.842856563847063	19.588619024382517	54
cc_104	55.36226626694093	79.08307431262418	14.44062474555418	5.592148107771811	10.518053754573097	541
cc_106	275.8518780899048	374.62197685973746	30.703603408205424	9.781981492549814	20.193042662833204	160
cc_107	42.99653018617812	65.49357218047815	16.62982338483238	4.908279701618507	22.277159253973466	263
cc_108	36.329346231181965	46.040385100059986	19.494142564451426	4.381886697445599	13.009137362015835	89
cc_109	53.21547758682914	71.14071353580991	9.72924974033123	4.375553164514812	9.16407013706289	92
cc_11	78.08906235638787	102.30103341980237	13.32524706955234	4.898322817487634	17.115459021446508	85
cc_110	219.07043240195827	275.8444817443705	20.042543805285188	6.978543335944135	13.143859299621244	76
cc_111	80.16983812469797	106.45297807036508	15.667901125725665	5.625953552610385	15.253525480082212	97
cc_112	21.59885586956355	26.580490805139373	20.331907008939325	6.409346232696384	21.33264860661634	127
cc_113	28.72818536987305	36.94933838606485	20.13268913818859	8.682620174048129	23.37661707734311	100
cc_114	55.28102372233073	67.3963850186654	18.245254365997553	10.024484771756923	16.376875097198855	90
cc_115	71.40592982594559	87.20450460431519	49.688051475845754	12.79538576962076	27.026640971408597	82
cc_116	32.627110000803505	49.19229264489243	14.534248712246924	6.788828547815958	9.949747120558785	79
cc_117	36.5429078307333	52.326622682719325	15.699011171845703	7.302739374646938	11.067495202603585	79
cc_118	21.13245491536458	26.590855836110876	18.799120753107385	6.343225248496049	17.581605077518024	90
cc_12	84.47116186263713	123.18953267456295	14.971543383774506	5.143780408149869	17.401450763348986	94
cc_13	39.18620095785562	63.322350539472644	14.294651215423208	3.9201881710539834	22.484543795461637	154
cc_14	23.6071474081783	35.43170394888172	10.322238539143546	4.126402273759535	12.35742450653727	472
cc_144	62.59177958170574	81.29686067211463	10.308493234471221	5.143966106320327	9.876653461834865	48
cc_147	69.3523679412602	108.40022611209778	13.640111718901727	5.3176583121523855	9.505803298427093	1188
cc_148	69.00022144035464	99.70277598132591	12.30277279823205	5.3663678703641065	9.072591165183836	1041
cc_149	34.74527351022274	46.26852195125123	44.12390608968816	8.305113660537035	18.84013060476213	235
cc_15	23.427458299730645	34.946513633800656	9.954730635184381	4.438027259932304	11.918156695777503	488
cc_150	57.825959625244124	72.17101948382167	16.971234605652988	8.62816467103016	16.641042799863058	20
cc_151	50.02662492055741	62.28344005951551	13.092205238146073	4.538426813321124	8.882946379209066	63
cc_152	56.62222754100012	70.84071057022707	12.24436054250902	4.870477871335683	8.341764274286238	63
cc_153	43.80256340182559	57.56007099563323	10.805184360374632	4.052415894331166	7.515671989248033	49
cc_154	44.892088065769364	59.86517076516195	10.916553497797496	3.689356349915301	5.942325774266901	46
cc_155	48.52088716779436	61.80858409288523	11.684100244837989	4.433560596472438	8.393421727183826	56
cc_156	50.33892822265625	61.744685141392296	11.515701228818909	4.353825308999849	7.101623800632022	64
cc_157	45.21935307820638	58.134384772727486	9.298241207145631	4.421565764956134	8.091066611474089	48
cc_158	48.617723326602224	64.4273861918153	7.957891364039275	4.296370035931622	6.693173105440372	59
cc_159	44.66471148274739	58.737538056806926	8.952632641147819	3.934523562609884	7.377192688388837	75
cc_16	22.108491822596022	33.006952626717975	10.335207346464665	3.889327250474284	11.639727872081215	467
cc_160	58.488412475585925	72.87864657918563	10.083136939066451	4.641053487874209	7.637667499450146	75
cc_161	46.5933934326172	59.73202490450328	8.852986452537385	4.198056855931919	7.62504114712217	75
cc_162	68.72205237819723	82.76651341583026	10.938742895145456	5.5294368042706425	9.415672443288544	73
cc_163	42.43579309082031	54.00585772183294	8.90350375507812	3.8218049182985987	6.96420111799643	75
cc_164	56.77595702214029	71.26445251789211	9.55803428345314	4.901408631352972	7.591687996863129	67
cc_165	58.74314940592448	79.64301987734872	10.816686595532552	5.304792425762578	9.254702316091869	75
cc_166	58.78701135922784	75.01962073104228	8.601249069250283	5.099851773130321	7.516627897999768	73
cc_167	45.64141917460673	62.187587897272806	7.740549145073769	4.141388934978109	7.168998486207889	74
cc_168	56.0043444905599	78.93577614149355	8.305905222691417	4.597151997189379	7.047543126430149	75
cc_169	45.66594395345053	65.8791780517126	8.482913726316921	4.0910506659365815	7.188181805130636	75
cc_17	16.118127346160303	22.739015821730018	7.920771985145635	4.052428055051116	8.842983068361569	314
cc_170	54.30696907552083	79.1886062153628	8.175983531109226	4.408748910173797	6.8334158729720915	75
cc_171	50.27176285114693	69.55241733770617	9.948888916404776	4.259596920110739	8.36996333937993	47
