	MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test	test_fold	val_fold
run_1	35.82434259839872	68.70282525397009	11.874566241253486	4.364041450064543	10.871086691136894	3830	0	1
run_2	40.17736361587817	74.35072169225046	13.913277563494875	4.8822346152919405	12.23674175627311	3820	1	2
run_3	44.37935293994007	81.40562218164266	17.040461647458482	5.5385531615428265	14.254400490228145	3809	2	3
run_4	41.26719732511333	78.47304352053041	14.086794469873542	4.919367444495429	12.510883325484704	3788	3	4
run_5	38.22262296969555	75.46527522322381	15.353970225317713	4.844301467045439	12.155082658037928	3768	4	5
run_6	40.05045081191406	72.94278663547915	13.643422594296691	4.860084355142235	12.37467702834451	3750	5	6
run_7	36.99581531240317	84.64109871164315	12.563735446016702	4.371910904274958	11.145752982545588	3736	6	7
run_8	37.57006327819063	82.3299271994634	12.523335421772266	4.571856165613856	11.359503790092907	3721	7	8
run_9	41.80173176529615	78.9461077546856	14.28613242880193	5.236540696216463	13.10257452404444	3711	8	9
run_10	33.885023978577046	70.6388463013643	11.632503634780466	4.107876130525392	10.501900489893536	3694	9	0
