	MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test	test_fold	val_fold
run_1	90.1621491716316	187.46903933006982	31.341910291596818	9.209389739022603	24.2051109037604	5178	0	1
run_2	53.67834238333603	96.56918903097755	17.567138167738232	6.1417534301043375	17.239420569244682	3029	1	2
run_3	45.13234582950746	75.31916030669531	14.700515162763264	6.209751489915707	15.269035711381129	3029	2	3
run_4	45.38273306558197	86.11444493492901	13.697638178992442	5.475771410544638	13.161068550699497	3029	3	4
run_5	47.215060938703644	79.68937883084632	15.631011481129322	6.198549139335163	14.120985824202712	3029	4	5
run_6	59.50171250134873	102.91953402325481	17.40869137679181	7.254306481455217	18.4945596234064	3029	5	6
run_7	47.196964212505485	88.48617680870558	16.439549769937514	5.886462647059481	15.155392278957393	3029	6	7
run_8	52.19807299531987	100.9973501572487	17.395551588841393	6.597512024812654	15.872111072701601	3029	7	8
run_9	60.342559877120465	136.88411747804972	17.582704553531798	6.622031481107736	16.041207121625618	3029	8	9
run_10	47.136590719929636	76.71842643703299	17.50656685318959	5.949404405073791	14.37354413678997	3029	9	0
