	MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test	test_fold	val_fold
run_1	108.24748442382904	119.08820769065099	87.55271476306187	24.175335988884456	56.5670471082305	8899	0	1
run_2	351.2698143026226	475.5621838139603	44.61650269833901	23.38261957715761	48.29870112894738	3512	1	2
run_3	75.28799503749373	117.52981365667777	18.385286330209826	7.071411943154682	17.21362533869974	3502	2	3
run_4	142.56557737651428	252.54251540085517	24.869663289310203	9.58373058063359	23.000482196467	3501	3	4
run_5	132.1970666605253	211.76753477789063	52.98189316644499	26.296474896277953	65.56933739327883	3493	4	5
run_6	235.0122999169064	363.2579799990705	52.88470709899665	20.314188778037796	40.03598410991039	3512	5	6
run_7	62.56045907276592	114.21333585009539	19.475761178201054	6.024486875352243	17.264885172198873	3494	6	7
run_8	43.80430965226351	68.7949777102071	14.642827734938146	6.342733314902989	17.30857765822464	3493	7	8
run_9	57.279995475672905	123.01488715020967	30.69263046601495	7.141720739514318	21.69458622845563	3492	8	9
run_10	80.93906737267494	151.0529639641915	23.1086868812029	10.249621868665427	26.46060785194186	3492	9	0
