	MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test	test_fold	val_fold
run_1	39.32092252465745	76.6022971146761	12.266716960425573	4.562896784727905	11.2750563561373	4107	0	1
run_2	38.53517382341738	73.92067245755572	12.413448218515896	4.539235643493856	11.284136361940552	4097	1	2
run_3	40.32280300759564	78.0562748405858	12.716175369407924	4.719815669095089	11.814677684977632	4086	2	3
run_4	42.343455513310865	80.80480160295545	13.667067712529631	4.944323953808013	12.416139982882862	4064	3	4
run_5	42.21714393064836	81.45647489521599	13.858508005133665	4.936868873850963	12.422612622363653	4044	4	5
run_6	44.49308038223957	75.55624954262903	14.619858848219756	5.307476150532007	13.42050013697389	4026	5	6
run_7	39.40513383873416	84.82474347089729	12.10318601390309	4.6187677795465545	11.571222601543399	4012	6	7
run_8	38.36886539486233	78.7462111671701	12.930328879379081	4.539205144298208	11.250829019175136	3997	7	8
run_9	41.978537070889324	81.85648174337433	13.869409701731039	4.949690687617617	12.41915773729645	3987	8	9
run_10	42.318850068189235	80.28993314298071	13.922540387591887	5.229991829509455	13.107729243461472	3970	9	0
